species_main,genus_main,subfamily_main,family_main,isscaap_division_code,isscaap_division_name,isscaap_group_code,note
Epinephelus morio,Epinephelus,Epinephelinae,Serranidae,3,Marine fishes,33,NA
Epinephelus morrhua,Epinephelus,Epinephelinae,Serranidae,3,Marine fishes,33,NA
Epinephelus polyphekadion,Epinephelus,Epinephelinae,Serranidae,3,Marine fishes,33,NA
Epinephelus retouti,Epinephelus,Epinephelinae,Serranidae,3,Marine fishes,33,NA
Epinephelus tauvina,Epinephelus,Epinephelinae,Serranidae,3,Marine fishes,33,NA
Eptatretus polytrema,Eptatretus,Eptatretinae,Myxinidae,3,Marine fishes,33,warning: matched using derived genus information
Eptatretus polytrema,Eptatretus,Eptatretinae,Myxinidae,3,Marine fishes,33,warning: matched using derived genus information
Equulites leuciscus,Equulites,NEI,Leiognathidae,3,Marine fishes,33,warning: matched using derived genus information
Eriphia verrucosa,Eriphia,NEI,Eriphiidae,4,Crustaceans,42,NA
Escualosa thoracata,Escualosa,Dorosomatinae,Clupeidae,3,Marine fishes,35,NA
Esox lucius,Esox,NEI,Esocidae,1,Freshwater fishes,13,NA
Etelis carbunculus,Etelis,Etelinae,Lutjanidae,3,Marine fishes,33,NA
Etelis oculatus,Etelis,Etelinae,Lutjanidae,3,Marine fishes,33,NA
Etelis radiosus,Etelis,Etelinae,Lutjanidae,3,Marine fishes,33,NA
Ethmalosa fimbriata,Ethmalosa,Dorosomatinae,Clupeidae,3,Marine fishes,35,NA
Ethmidium maculatum,Ethmidium,Clupeinae,Clupeidae,3,Marine fishes,35,NA
Etmopterus lucifer,Etmopterus,NEI,Etmopteridae,3,Marine fishes,38,NA
Etmopterus princeps,Etmopterus,NEI,Etmopteridae,3,Marine fishes,38,NA
Etmopterus spinax,Etmopterus,NEI,Etmopteridae,3,Marine fishes,38,NA
Etroplus suratensis,Etroplus,Etroplinae,Cichlidae,1,Freshwater fishes,12,NA
Etrumeus sadina,Etrumeus,NEI,Dussumieriidae,3,Marine fishes,35,warning: matched using derived genus information
Eubleekeria splendens,Eubleekeria,NEI,Leiognathidae,3,Marine fishes,33,warning: matched using derived family information
Eucinostomus argenteus,Eucinostomus,NEI,Gerreidae,3,Marine fishes,33,warning: matched using genus information
Eucinostomus melanopterus,Eucinostomus,NEI,Gerreidae,3,Marine fishes,33,NA
Eucinostomus argenteus,Eucinostomus,NEI,Gerreidae,3,Marine fishes,33,warning: matched using genus information
Eucinostomus gracilis,Eucinostomus,NEI,Gerreidae,3,Marine fishes,33,warning: matched using genus information
Eucinostomus gula,Eucinostomus,NEI,Gerreidae,3,Marine fishes,33,warning: matched using genus information
Eugerres axillaris,Eugerres,NEI,Gerreidae,3,Marine fishes,33,NA
Eugerres brasilianus,Eugerres,NEI,Gerreidae,3,Marine fishes,33,warning: matched using derived genus information
Eugerres lineatus,Eugerres,NEI,Gerreidae,3,Marine fishes,33,warning: matched using derived genus information
Eugerres plumieri,Eugerres,NEI,Gerreidae,3,Marine fishes,33,warning: matched using derived genus information
Euphausia superba,Euphausia,NEI,Euphausiidae,4,Crustaceans,46,NA
Eusphyra blochii,Eusphyra,NEI,Sphyrnidae,3,Marine fishes,38,NA
Euthynnus affinis,Euthynnus,Scombrinae,Scombridae,3,Marine fishes,36,NA
Euthynnus alletteratus,Euthynnus,Scombrinae,Scombridae,3,Marine fishes,36,NA
Euthynnus lineatus,Euthynnus,Scombrinae,Scombridae,3,Marine fishes,36,NA
Eutrigla gurnardus,Eutrigla,Triglinae,Triglidae,3,Marine fishes,34,NA
Evibacus princeps,Evibacus,NEI,Scyllaridae,4,Crustaceans,43,NA
Farfantepenaeus subtilis,Farfantepenaeus,NEI,Penaeidae,4,Crustaceans,45,warning: matched using derived family information
Fenneropenaeus indicus,Fenneropenaeus,NEI,Penaeidae,4,Crustaceans,45,warning: matched using derived family information
Fissurella costata,Fissurella,NEI,Fissurellidae,5,Molluscs,52,warning: matched using genus information
Fissurella cumingi,Fissurella,NEI,Fissurellidae,5,Molluscs,52,warning: matched using genus information
Fissurella latimarginata,Fissurella,NEI,Fissurellidae,5,Molluscs,52,warning: matched using genus information
Fissurella maxima,Fissurella,NEI,Fissurellidae,5,Molluscs,52,warning: matched using genus information
Fissurella picta,Fissurella,NEI,Fissurellidae,5,Molluscs,52,warning: matched using genus information
Fistularia commersonii,Fistularia,NEI,Fistulariidae,3,Marine fishes,33,NA
Fontitrygon margarita,Fontitrygon,Urogymninae,Dasyatidae,3,Marine fishes,38,warning: matched using derived family information
Fontitrygon margaritella,Fontitrygon,Urogymninae,Dasyatidae,3,Marine fishes,38,warning: matched using derived family information
Fontitrygon ukpam,Fontitrygon,Urogymninae,Dasyatidae,3,Marine fishes,38,warning: matched using derived family information
Fundulus grandis,Fundulus,NEI,Fundulidae,1,Freshwater fishes,13,warning: matched using derived genus information
Fundulus heteroclitus,Fundulus,NEI,Fundulidae,1,Freshwater fishes,13,warning: matched using derived genus information
Gadus chalcogrammus,Gadus,NEI,Gadidae,3,Marine fishes,32,NA
Gadus macrocephalus,Gadus,NEI,Gadidae,3,Marine fishes,32,NA
Gadus morhua,Gadus,NEI,Gadidae,3,Marine fishes,32,NA
Gadus ogac,Gadus,NEI,Gadidae,3,Marine fishes,32,NA
Gafrarium divaricatum,Gafrarium,NEI,Veneridae,5,Molluscs,56,NA
Gaidropsarus mediterraneus,Gaidropsarus,NEI,Lotidae,3,Marine fishes,32,NA
Gaidropsarus vulgaris,Gaidropsarus,NEI,Lotidae,3,Marine fishes,32,NA
Galaxias maculatus,Galaxias,Galaxiinae,Galaxiidae,2,Diadromous fishes,23,NA
Galeichthys peruvianus,Galeichthys,Galeichthyinae,Ariidae,3,Marine fishes,33,NA
Galeocerdo cuvier,Galeocerdo,NEI,Carcharhinidae,3,Marine fishes,38,NA
Galeodea rugosa,Galeodea,Cassinae,Cassidae,5,Molluscs,52,warning: matched using derived family information
Galeoides decadactylus,Galeoides,NEI,Polynemidae,3,Marine fishes,33,NA
Galeorhinus galeus,Galeorhinus,Galeorhininae,Triakidae,3,Marine fishes,38,NA
Galeus melastomus,Galeus,NEI,Pentanchidae,3,Marine fishes,38,NA
Gari solida,Gari,NEI,Psammobiidae,5,Molluscs,56,warning: matched using genus information
Gasterochisma melampus,Gasterochisma,Gasterochismatinae,Scombridae,3,Marine fishes,36,NA
Gazza minuta,Gazza,NEI,Leiognathidae,3,Marine fishes,33,NA
Geloina expansa,Polymesoda,NEI,Corbiculidae,5,Molluscs,51,warning: matched using genus information
Gempylus serpens,Gempylus,NEI,Gempylidae,3,Marine fishes,34,NA
Genidens barbus,Genidens,Ariinae,Ariidae,3,Marine fishes,33,warning: matched using derived genus information
Genidens barbus,Genidens,Ariinae,Ariidae,3,Marine fishes,33,warning: matched using derived genus information
Genidens genidens,Genidens,Ariinae,Ariidae,3,Marine fishes,33,warning: matched using derived genus information
Genyatremus luteus,Genyatremus,Plectorhinchinae,Haemulidae,3,Marine fishes,33,NA
Genypterus blacodes,Genypterus,Ophidiinae,Ophidiidae,3,Marine fishes,34,NA
Genypterus chilensis,Genypterus,Ophidiinae,Ophidiidae,3,Marine fishes,34,NA
Genypterus maculatus,Genypterus,Ophidiinae,Ophidiidae,3,Marine fishes,34,NA
Geophagus brasiliensis,Geophagus,Geophaginae,Cichlidae,1,Freshwater fishes,12,NA
Geophagus sveni,Geophagus,Geophaginae,Cichlidae,1,Freshwater fishes,12,warning: matched using genus information
Geotria australis,Geotria,NEI,Geotriidae,2,Diadromous fishes,25,NA
Gephyroberyx darwinii,Gephyroberyx,NEI,Trachichthyidae,3,Marine fishes,34,NA
Gephyroglanis congicus,Gephyroglanis,Claroteinae,Bagridae,1,Freshwater fishes,13,NA
Gerres cinereus,Gerres,NEI,Gerreidae,3,Marine fishes,33,NA
Gerres filamentosus,Gerres,NEI,Gerreidae,3,Marine fishes,33,NA
Gerres nigri,Gerres,NEI,Gerreidae,3,Marine fishes,33,NA
Gerres oblongus,Gerres,NEI,Gerreidae,3,Marine fishes,33,NA
Gerres oyena,Gerres,NEI,Gerreidae,3,Marine fishes,33,NA
Geryon longipes,Geryon,Geryoninae,Geryonidae,4,Crustaceans,42,NA
Geukensia demissa,Geukensia,Modiolinae,Mytilidae,5,Molluscs,54,NA
Gibelion catla,Gibelion,Labeoninae,Cyprinidae,1,Freshwater fishes,11,warning: matched using derived family information
Ginglymostoma cirratum,Ginglymostoma,NEI,Ginglymostomatidae,3,Marine fishes,38,NA
Girella laevifrons,Girella,Girellinae,Kyphosidae,3,Marine fishes,33,warning: matched using derived genus information
Girella nebulosa,Girella,Girellinae,Kyphosidae,3,Marine fishes,33,warning: matched using derived genus information
Glaucostegus cemiculus,Glaucostegus,NEI,Glaucostegidae,NA,NA,NA,NA
Glycera dibranchiata,Glycera,NEI,Glyceridae,7,Miscellaneous aquatic animals,77,NA
Glycymeris glycymeris,Glycymeris,NEI,Glycymerididae,5,Molluscs,56,NA
Glycymeris pilosa,Glycymeris,NEI,Glycymerididae,5,Molluscs,56,NA
Glycymeris violacescens,Glycymeris,NEI,Glycymerididae,5,Molluscs,56,NA
Glyptocephalus cynoglossus,Glyptocephalus,Pleuronectinae,Pleuronectidae,3,Marine fishes,31,NA
Glyptocephalus zachirus,Glyptocephalus,Pleuronectinae,Pleuronectidae,3,Marine fishes,31,NA
Gnathanodon speciosus,Gnathanodon,Caranginae,Carangidae,3,Marine fishes,37,NA
Gnathodentex aureolineatus,Gnathodentex,Monotaxinae,Lethrinidae,3,Marine fishes,33,NA
Gnathonemus petersii,Gnathonemus,NEI,Mormyridae,1,Freshwater fishes,13,NA
Gobionellus oceanicus,Gobionellus,Gobionellinae,Gobiidae,1,Freshwater fishes,13,warning: matched using derived genus information
Gobius niger,Gobius,Gobiinae,Gobiidae,3,Marine fishes,33,NA
Goniopsis cruentata,Goniopsis,NEI,Grapsidae,4,Crustaceans,42,warning: matched using derived genus information
Grammatorcynus bilineatus,Grammatorcynus,Scombrinae,Scombridae,3,Marine fishes,36,NA
Grapsus grapsus,Grapsus,NEI,Grapsidae,4,Crustaceans,42,NA
Graus nigra,Graus,Girellinae,Kyphosidae,3,Marine fishes,33,warning: matched using derived family information
Guavina guavina,Guavina,Eleotrinae,Eleotridae,1,Freshwater fishes,13,NA
Gudusia Chapra,Gudusia,Dorosomatinae,Clupeidae,2,Diadromous fishes,24,warning: matched using derived genus information
Gymnammodytes cicerelus,Gymnammodytes,NEI,Ammodytidae,3,Marine fishes,33,NA
Gymnammodytes semisquamatus,Gymnammodytes,NEI,Ammodytidae,3,Marine fishes,33,NA
Gymnarchus niloticus,Gymnarchus,NEI,Gymnarchidae,1,Freshwater fishes,13,NA
Gymnocranius euanus,Gymnocranius,Monotaxinae,Lethrinidae,3,Marine fishes,33,NA
Gymnocranius grandoculis,Gymnocranius,Monotaxinae,Lethrinidae,3,Marine fishes,33,NA
Gymnocranius griseus,Gymnocranius,Monotaxinae,Lethrinidae,3,Marine fishes,33,NA
Gymnosarda unicolor,Gymnosarda,Scombrinae,Scombridae,3,Marine fishes,36,NA
Gymnothorax maderensis,Gymnothorax,Muraeninae,Muraenidae,3,Marine fishes,33,NA
Gymnothorax polygonius,Gymnothorax,Muraeninae,Muraenidae,3,Marine fishes,33,NA
Gymnothorax porphyreus,Gymnothorax,Muraeninae,Muraenidae,3,Marine fishes,33,NA
Gymnothorax unicolor,Gymnothorax,Muraeninae,Muraenidae,3,Marine fishes,33,NA
Gymnotus carapo,Gymnotus,NEI,Gymnotidae,1,Freshwater fishes,13,NA
Gymnura altavela,Gymnura,NEI,Gymnuridae,3,Marine fishes,38,NA
Gymnura crebripunctata,Gymnura,NEI,Gymnuridae,3,Marine fishes,38,NA
Gymnura marmorata,Gymnura,NEI,Gymnuridae,3,Marine fishes,38,NA
Gymnura micrura,Gymnura,NEI,Gymnuridae,3,Marine fishes,38,NA
Gymnura poecilura,Gymnura,NEI,Gymnuridae,3,Marine fishes,38,NA
Haemulon album,Haemulon,Haemulinae,Haemulidae,3,Marine fishes,33,NA
Haemulon aurolineatum,Haemulon,Haemulinae,Haemulidae,3,Marine fishes,33,NA
Haemulon bonariense,Haemulon,Haemulinae,Haemulidae,3,Marine fishes,33,NA
Haemulon maculicauda,Haemulon,Haemulinae,Haemulidae,3,Marine fishes,33,NA
Haemulon parra,Haemulon,Haemulinae,Haemulidae,3,Marine fishes,33,NA
Haemulon plumierii,Haemulon,Haemulinae,Haemulidae,3,Marine fishes,33,NA
Haemulon scudderii,Haemulon,Haemulinae,Haemulidae,3,Marine fishes,33,NA
Haemulopsis axillaris,Haemulopsis,Haemulinae,Haemulidae,3,Marine fishes,33,NA
Haemulopsis leuciscus,Haemulopsis,Haemulinae,Haemulidae,3,Marine fishes,33,NA
Haliotis corrugata,Haliotis,NEI,Haliotidae,5,Molluscs,52,NA
Haliotis cracherodii,Haliotis,NEI,Haliotidae,5,Molluscs,52,NA
Haliotis fulgens,Haliotis,NEI,Haliotidae,5,Molluscs,52,NA
Haliotis rufescens,Haliotis,NEI,Haliotidae,5,Molluscs,52,NA
Haliotis sorenseni,Haliotis,NEI,Haliotidae,5,Molluscs,52,NA
Haliotis tuberculata,Haliotis,NEI,Haliotidae,5,Molluscs,52,NA
Haliporoides diomedeae,Haliporoides,NEI,Solenoceridae,4,Crustaceans,45,NA
Halobatrachus didactylus,Halobatrachus,Halophryninae,Batrachoididae,3,Marine fishes,33,NA
Hampala macrolepidota,Hampala,NEI,Cyprinidae,1,Freshwater fishes,11,NA
Haplochromis kirkii,Protomelas,Pseudocrenilabrinae,Cichlidae,1,Freshwater fishes,12,warning: matched using derived genus information
Harengula jaguana,Harengula,Dorosomatinae,Clupeidae,3,Marine fishes,35,NA
Harpadon nehereus,Harpadon,Harpadontinae,Synodontidae,3,Marine fishes,33,NA
Harpiosquilla harpax,Harpiosquilla,NEI,Squillidae,4,Crustaceans,47,NA
Hediste diversicolor,Hediste,Nereidinae,Nereididae,7,Miscellaneous aquatic animals,77,warning: matched using derived family information
Helicolenus dactylopterus,Helicolenus,Sebastinae,Sebastidae,3,Marine fishes,34,NA
Helicolenus lengerichi,Helicolenus,Sebastinae,Sebastidae,3,Marine fishes,34,warning: matched using genus information
Helicophagus waandersii,Helicophagus,NEI,Pangasiidae,1,Freshwater fishes,13,warning: matched using derived genus information
Helostoma temminckii,Helostoma,NEI,Helostomatidae,1,Freshwater fishes,13,NA
Hemanthias leptus,Hemanthias,Anthiinae,Serranidae,3,Marine fishes,33,warning: matched using derived genus information
Hemibagrus nemurus,Hemibagrus,NEI,Bagridae,1,Freshwater fishes,13,NA
Hemibagrus wyckioides,Hemibagrus,NEI,Bagridae,1,Freshwater fishes,13,NA
Hemibagrus filamentus,Hemibagrus,NEI,Bagridae,1,Freshwater fishes,13,warning: matched using derived genus information
Hemibates stenosoma,Hemibates,Pseudocrenilabrinae,Cichlidae,1,Freshwater fishes,12,NA
Hemicaranx bicolor,Hemicaranx,Caranginae,Carangidae,3,Marine fishes,37,NA
Hemicaranx zelotes,Hemicaranx,Caranginae,Carangidae,3,Marine fishes,37,NA
Hemichromis elongatus,Hemichromis,Pseudocrenilabrinae,Cichlidae,1,Freshwater fishes,12,warning: matched using derived genus information
Hemichromis fasciatus,Hemichromis,Pseudocrenilabrinae,Cichlidae,1,Freshwater fishes,12,NA
Hemigaleus microstoma,Hemigaleus,NEI,Hemigaleidae,3,Marine fishes,38,NA
Hemigrapsus crenulatus,Hemigrapsus,NEI,Varunidae,NA,NA,NA,NA
Hemilutjanus macrophthalmos,Hemilutjanus,Incertae sedis,Serranidae,3,Marine fishes,33,warning: matched using derived family information
Hemipristis elongata,Hemipristis,NEI,Hemigaleidae,3,Marine fishes,38,NA
Hemiramphus balao,Hemiramphus,NEI,Hemiramphidae,3,Marine fishes,37,NA
Hemiramphus brasiliensis,Hemiramphus,NEI,Hemiramphidae,3,Marine fishes,37,NA
Hemiramphus far,Hemiramphus,NEI,Hemiramphidae,3,Marine fishes,37,NA
Hemisorubim platyrhynchos,Hemisorubim,NEI,Pimelodidae,1,Freshwater fishes,13,NA
Henicorhynchus siamensis,Henicorhynchus,NEI,Cyprinidae,1,Freshwater fishes,11,NA
Hepsetus kingsleyae,Hepsetus,NEI,Hepsetidae,1,Freshwater fishes,13,warning: matched using derived genus information
Hepsetus odoe,Hepsetus,NEI,Hepsetidae,1,Freshwater fishes,13,NA
Heptranchias perlo,Heptranchias,NEI,Hexanchidae,3,Marine fishes,38,NA
Herklotsichthys quadrimaculatus,Herklotsichthys,Dorosomatinae,Clupeidae,3,Marine fishes,35,warning: matched using derived genus information
Heteristius cinctus,Heteristius,NEI,Dactyloscopidae,3,Marine fishes,33,NA
Heterobranchus longifilis,Heterobranchus,Ampharetinae,Clariidae,1,Freshwater fishes,13,NA
Heterocarpus ensifer,Heterocarpus,NEI,Pandalidae,4,Crustaceans,45,NA
Heterocarpus reedi,Heterocarpus,NEI,Pandalidae,4,Crustaceans,45,NA
Heteropneustes fossilis,Heteropneustes,NEI,Heteropneustidae,1,Freshwater fishes,13,NA
Heteropriacanthus cruentatus,Heteropriacanthus,NEI,Priacanthidae,3,Marine fishes,33,NA
Heterotis niloticus,Heterotis,NEI,Arapaimidae,1,Freshwater fishes,13,NA
Hexagrammos decagrammus,Hexagrammos,Hexagramminae,Hexagrammidae,3,Marine fishes,33,NA
Hexanchus griseus,Hexanchus,NEI,Hexanchidae,3,Marine fishes,38,NA
Hexaplex erythrostomus,Hexaplex,Muricinae,Muricidae,5,Molluscs,52,warning: matched using genus information
Hexaplex nigritus,Hexaplex,Muricinae,Muricidae,5,Molluscs,52,NA
Hexaplex trunculus,Hexaplex,Muricinae,Muricidae,5,Molluscs,52,warning: matched using genus information
Hippa ovalis,Hippa,NEI,Hippidae,4,Crustaceans,44,NA
Hippoglossina macrops,Hippoglossina,NEI,Paralichthyidae,3,Marine fishes,31,NA
Hippoglossina oblonga,Hippoglossina,NEI,Paralichthyidae,3,Marine fishes,31,warning: matched using derived genus information
Hippoglossoides elassodon,Hippoglossoides,Pleuronectinae,Pleuronectidae,3,Marine fishes,31,NA
Hippoglossoides platessoides,Hippoglossoides,Pleuronectinae,Pleuronectidae,3,Marine fishes,31,NA
Hippoglossus hippoglossus,Hippoglossus,Pleuronectinae,Pleuronectidae,3,Marine fishes,31,NA
Hippoglossus stenolepis,Hippoglossus,Pleuronectinae,Pleuronectidae,3,Marine fishes,31,NA
Hirundichthys affinis,Hirundichthys,NEI,Exocoetidae,3,Marine fishes,37,NA
Hirundichthys rondeletii,Hirundichthys,NEI,Exocoetidae,3,Marine fishes,37,NA
Holocentrus adscensionis,Holocentrus,Holocentrinae,Holocentridae,3,Marine fishes,33,NA
Holothuria (Halodeima) floridana,Holothuria,NEI,Holothuriidae,7,Miscellaneous aquatic animals,76,warning: matched using genus information
Holothuria atra,Holothuria,NEI,Holothuriidae,7,Miscellaneous aquatic animals,76,NA
Holothuria coluber,Holothuria,NEI,Holothuriidae,7,Miscellaneous aquatic animals,76,NA
Holothuria coronopertusa,Holothuria,NEI,Holothuriidae,7,Miscellaneous aquatic animals,76,warning: matched using genus information
Holothuria edulis,Holothuria,NEI,Holothuriidae,7,Miscellaneous aquatic animals,76,NA
Holothuria fuscogilva,Holothuria,NEI,Holothuriidae,7,Miscellaneous aquatic animals,76,NA
Holothuria fuscopunctata,Holothuria,NEI,Holothuriidae,7,Miscellaneous aquatic animals,76,NA
Holothuria impatiens,Holothuria,NEI,Holothuriidae,7,Miscellaneous aquatic animals,76,NA
Holothuria lessoni,Holothuria,NEI,Holothuriidae,7,Miscellaneous aquatic animals,76,NA
Holothuria leucospilota,Holothuria,NEI,Holothuriidae,7,Miscellaneous aquatic animals,76,NA
Holothuria nobilis,Holothuria,NEI,Holothuriidae,7,Miscellaneous aquatic animals,76,NA
Holothuria scabra,Holothuria,NEI,Holothuriidae,7,Miscellaneous aquatic animals,76,NA
Holothuria tubulosa,Holothuria,NEI,Holothuriidae,7,Miscellaneous aquatic animals,76,NA
Holothuria whitmaei,Holothuria,NEI,Holothuriidae,7,Miscellaneous aquatic animals,76,NA
Holthuispenaeopsis atlantica,Holthuispenaeopsis,NEI,Penaeidae,4,Crustaceans,45,warning: matched using derived family information
Homalaspis plana,Homalaspis,NEI,Platyxanthidae,4,Crustaceans,42,NA
Homarus americanus,Homarus,NEI,Nephropidae,4,Crustaceans,43,NA
Homarus gammarus,Homarus,NEI,Nephropidae,4,Crustaceans,43,NA
Hoplias malabaricus,Hoplias,NEI,Erythrinidae,1,Freshwater fishes,13,NA
Hoplopagrus guentherii,Hoplopagrus,Lutjaninae,Lutjanidae,3,Marine fishes,33,NA
Hoplostethus atlanticus,Hoplostethus,NEI,Trachichthyidae,3,Marine fishes,34,NA
Hoplostethus mediterraneus,Hoplostethus,NEI,Trachichthyidae,3,Marine fishes,34,NA
Huso huso,Huso,Acipenserinae,Acipenseridae,2,Diadromous fishes,21,NA
Hydrocynus forskahlii,Hydrocynus,NEI,Alestidae,1,Freshwater fishes,13,NA
Hydrocynus goliath,Hydrocynus,NEI,Alestidae,1,Freshwater fishes,13,warning: matched using derived genus information
Hydrocynus vittatus,Hydrocynus,NEI,Alestidae,1,Freshwater fishes,13,NA
Hydrolagus colliei,Hydrolagus,NEI,Chimaeridae,3,Marine fishes,38,NA
Hydrolagus macrophthalmus,Hydrolagus,NEI,Chimaeridae,3,Marine fishes,38,warning: matched using genus information
Hydrolagus melanophasma,Hydrolagus,NEI,Chimaeridae,3,Marine fishes,38,warning: matched using genus information
Hypanus americanus,Hypanus,Dasyatinae,Dasyatidae,3,Marine fishes,38,warning: matched using derived family information
Hypanus dipterurus,Hypanus,Dasyatinae,Dasyatidae,3,Marine fishes,38,warning: matched using derived family information
Hypanus say,Hypanus,Dasyatinae,Dasyatidae,3,Marine fishes,38,warning: matched using derived family information
Hypanus americanus,Hypanus,Dasyatinae,Dasyatidae,3,Marine fishes,38,warning: matched using derived family information
Hyperoglyphe perciformis,Hyperoglyphe,NEI,Centrolophidae,3,Marine fishes,34,NA
Hyperopisus bebe,Hyperopisus,NEI,Mormyridae,1,Freshwater fishes,13,NA
Hyperoplus lanceolatus,Hyperoplus,NEI,Ammodytidae,3,Marine fishes,33,NA
Hypophthalmichthys molitrix,Hypophthalmichthys,Xenocyprinae,Cyprinidae,1,Freshwater fishes,11,NA
Hypophthalmichthys nobilis,Hypophthalmichthys,Xenocyprinae,Cyprinidae,1,Freshwater fishes,11,NA
Hypophthalmus edentatus,Hypophthalmus,NEI,Pimelodidae,1,Freshwater fishes,13,NA
Hypophthalmus marginatus,Hypophthalmus,NEI,Pimelodidae,1,Freshwater fishes,13,warning: matched using genus information
Hypophthalmus oremaculatus,Hypophthalmus,NEI,Pimelodidae,1,Freshwater fishes,13,warning: matched using genus information
Hyporhamphus dussumieri,Hyporhamphus,NEI,Hemiramphidae,3,Marine fishes,37,warning: matched using derived genus information
Hyporhamphus unifasciatus,Hyporhamphus,NEI,Hemiramphidae,3,Marine fishes,37,NA
Hyporthodus acanthistius,Hyporthodus,Epinephelinae,Serranidae,3,Marine fishes,33,warning: matched using derived genus information
Hyporthodus flavolimbatus,Hyporthodus,Epinephelinae,Serranidae,3,Marine fishes,33,warning: matched using derived genus information
Hyporthodus mystacinus,Hyporthodus,Epinephelinae,Serranidae,3,Marine fishes,33,warning: matched using derived genus information
Hyporthodus niveatus,Hyporthodus,Epinephelinae,Serranidae,3,Marine fishes,33,warning: matched using derived genus information
Hyporthodus octofasciatus,Hyporthodus,Epinephelinae,Serranidae,3,Marine fishes,33,warning: matched using derived genus information
Hyporthodus quernus,Hyporthodus,Epinephelinae,Serranidae,3,Marine fishes,33,warning: matched using derived genus information
Hyporthodus niphobles,Hyporthodus,Epinephelinae,Serranidae,3,Marine fishes,33,warning: matched using derived genus information
Hypsibarbus malcolmi,Hypsibarbus,NEI,Cyprinidae,1,Freshwater fishes,11,warning: matched using genus information
Ictalurus australis,Ictalurus,NEI,Ictaluridae,1,Freshwater fishes,13,NA
Ictalurus furcatus,Ictalurus,NEI,Ictaluridae,1,Freshwater fishes,13,NA
Ictalurus punctatus,Ictalurus,NEI,Ictaluridae,1,Freshwater fishes,13,NA
Ictiobus bubalus,Ictiobus,Ictiobinae,Catostomidae,1,Freshwater fishes,11,warning: matched using genus information
Ilisha africana,Ilisha,NEI,Pristigasteridae,2,Diadromous fishes,24,NA
Ilisha elongata,Ilisha,NEI,Pristigasteridae,2,Diadromous fishes,24,NA
Illex coindetii,Illex,Illicinae,Ommastrephidae,5,Molluscs,57,NA
Illex illecebrosus,Illex,Illicinae,Ommastrephidae,5,Molluscs,57,NA
Iphigenia brasiliana,Iphigenia,NEI,Donacidae,5,Molluscs,56,NA
Isacia conceptionis,Isacia,Haemulinae,Haemulidae,3,Marine fishes,33,NA
Isostichopus badionotus,Isostichopus,NEI,Stichopodidae,7,Miscellaneous aquatic animals,76,NA
Istiompax indica,Istiompax,NEI,Istiophoridae,3,Marine fishes,36,warning: matched using derived family information
Istiophorus albicans,Istiophorus,NEI,Istiophoridae,3,Marine fishes,36,NA
Istiophorus platypterus,Istiophorus,NEI,Istiophoridae,3,Marine fishes,36,NA
Isurus oxyrinchus,Isurus,NEI,Lamnidae,3,Marine fishes,38,NA
Isurus paucus,Isurus,NEI,Lamnidae,3,Marine fishes,38,NA
Jasus frontalis,Jasus,NEI,Palinuridae,4,Crustaceans,43,NA
Jasus lalandii,Jasus,NEI,Palinuridae,4,Crustaceans,43,NA
Johnius amblycephalus,Johnius,NEI,Sciaenidae,3,Marine fishes,33,NA
Johnius dussumieri,Johnius,NEI,Sciaenidae,3,Marine fishes,33,NA
Joturus pichardi,Joturus,NEI,Mugilidae,3,Marine fishes,33,NA
Kajikia albida,Kajikia,NEI,Istiophoridae,3,Marine fishes,36,warning: matched using derived family information
Kajikia audax,Kajikia,NEI,Istiophoridae,3,Marine fishes,36,warning: matched using derived family information
Katsuwonus pelamis,Katsuwonus,Scombrinae,Scombridae,3,Marine fishes,36,NA
Kryptopterus cryptopterus,Kryptopterus,NEI,Siluridae,1,Freshwater fishes,13,NA
Kuhlia munda,Kuhlia,NEI,Kuhliidae,3,Marine fishes,33,warning: matched using derived genus information
Kuhlia rupestris,Kuhlia,NEI,Kuhliidae,3,Marine fishes,33,warning: matched using derived genus information
Kyphosus analogus,Kyphosus,Kyphosinae,Kyphosidae,3,Marine fishes,33,NA
Kyphosus elegans,Kyphosus,Kyphosinae,Kyphosidae,3,Marine fishes,33,NA
Kyphosus sectatrix,Kyphosus,Kyphosinae,Kyphosidae,3,Marine fishes,33,NA
Kyphosus vaigiensis,Kyphosus,Kyphosinae,Kyphosidae,3,Marine fishes,33,NA
Labeo bata,Labeo,Labeoninae,Cyprinidae,1,Freshwater fishes,11,NA
Labeo capensis,Labeo,Labeoninae,Cyprinidae,1,Freshwater fishes,11,NA
Labeo chrysophekadion,Labeo,Labeoninae,Cyprinidae,1,Freshwater fishes,11,NA
Labeo coubie,Labeo,Labeoninae,Cyprinidae,1,Freshwater fishes,11,NA
Labeo dussumieri,Labeo,Labeoninae,Cyprinidae,1,Freshwater fishes,11,NA
Labeo forskalii,Labeo,Labeoninae,Cyprinidae,1,Freshwater fishes,11,NA
Labeo lineatus,Labeo,Labeoninae,Cyprinidae,1,Freshwater fishes,11,warning: matched using genus information
Labeo mesops,Labeo,Labeoninae,Cyprinidae,1,Freshwater fishes,11,NA
Labeo pangusia,Labeo,Labeoninae,Cyprinidae,1,Freshwater fishes,11,NA
Labeo rohita,Labeo,Labeoninae,Cyprinidae,1,Freshwater fishes,11,NA
Labeobarbus aeneus,Labeobarbus,Cyprininae,Cyprinidae,1,Freshwater fishes,11,warning: matched using derived family information
